dataset,x,y
A,35.90360973,91.11186308
A,45.37801888,29.16921665
A,39.77748287,43.75581895
A,38.66446116,33.31723848
A,39.04403669,84.67601083
A,91.63996144,79.40660306
A,47.48813268,85.38993338
A,44.59021258,22.03401164
A,39.08961455,70.46619408
A,42.22937838,19.91406841
A,37.00038714,60.26427925
A,39.05208648,70.65250285
A,37.48841474,60.81440485
A,69.35955946,65.5213546
A,43.54277593,62.46031128
A,39.81123025,65.33483281
A,70.06892594,7.593465609
A,70.04054358,77.1438066
A,39.50578908,74.85162722
A,62.51689085,66.48473224
A,72.13992541,0.015119325
A,45.25157607,70.00342132
A,42.06330456,2.335196612
A,36.35569515,6.00584865
A,30.39182766,42.75961287
A,36.44900385,50.54626907
A,40.467576,60.02751209
A,81.7246168,6.037544846
A,48.8231975,76.63533058
A,35.62056177,57.28601558
A,50.58396311,71.8066161
A,61.85646511,71.79274316
A,39.32375603,59.30081967
A,42.18567914,66.03489782
A,30.84691899,37.3416401
A,29.34620043,42.14874183
A,82.11055798,1.210551663
A,38.30200581,60.01778579
A,56.58415302,70.51251481
A,33.33937429,0.509106735
A,78.77423904,35.48410121
A,27.92264424,25.98687818
A,71.69786512,10.86814451
A,74.13833139,49.17391898
A,32.57902007,1.808115597
A,59.83218542,69.15250814
A,35.03062855,12.53664934
A,74.30011983,42.47709459
A,63.25019706,65.9524862
A,34.17307376,25.69367431
A,40.91383193,38.55901955
A,62.83329309,62.51089423
A,42.47679238,56.73128997
A,52.03345628,64.56666203
A,48.90704296,74.28774883
A,59.85183839,72.95839097
A,48.9604602,72.62952573
A,46.84485517,36.79171369
A,39.96302158,42.94491485
A,66.704944,32.01509543
F,53.36656687,90.20803001
F,52.80197936,90.08806451
F,47.05412988,90.45893603
F,42.44843378,89.50770012
F,42.70403632,90.44262886
F,32.37893863,90.14414263
F,32.53070274,70.15739651
F,33.36526443,70.45933544
F,32.65609918,70.0510705
F,22.95509327,70.42689515
F,27.14984363,70.21080584
F,26.16690928,70.50031512
F,26.33145708,50.49455653
F,22.00370914,50.49944012
F,23.28474798,50.47435283
F,27.63403839,50.50366686
F,32.037108,50.50006612
F,29.33651065,50.46189397
F,40.81695313,50.4877602
F,42.73907512,50.48315599
F,51.86789377,50.49327326
F,43.37100189,50.50083732
F,53.0427983,50.48750387
F,56.6189103,50.50337402
F,70.56828982,50.49623612
F,67.87088729,70.06802613
F,58.82154659,70.45578175
F,60.18692784,70.48355125
F,59.43551748,50.42063261
F,49.58584348,50.43498138
F,41.77974178,50.47064228
F,46.12768634,30.44941078
F,38.03378377,50.49089952
F,44.54684128,50.41591338
F,46.2381176,30.49561294
F,49.73974533,30.47272489
F,39.11025189,30.47869518
F,39.14283779,30.79285594
F,34.62547027,30.49974103
F,34.75420747,30.495865
F,36.75370024,50.5293043
F,37.01935129,50.4926667
F,41.41711528,50.46977342
F,22.81710748,30.43604034
F,34.80070146,30.49793139
F,27.8918898,30.48497026
F,32.87063916,30.50234175
F,37.79404941,30.49263834
F,35.6673163,30.52203505
F,48.4422995,30.50172278
F,58.66937326,30.50683789
F,47.91695544,30.48672575
F,51.89416639,30.49475568
F,51.74908916,30.47299334
F,58.246553,50.44287449
F,57.31069687,50.48251329
F,67.96804811,50.45215891
F,65.94931927,50.49424079
F,55.74709281,50.4789748
F,68.40301004,50.49862723
F,76.69646563,50.49383056
F,67.21483712,70.26002844
F,72.30200573,70.22043738
F,66.76325739,70.47386171
F,51.68030044,89.99702755
F,53.09655736,89.54024371
F,42.24229294,89.70857859
F,56.23387566,89.63530816
F,54.68098658,89.96459946
F,57.90268661,89.61840173
F,51.82026255,89.8341304
F,56.82839534,89.58366473
F,58.27227859,69.90027296
F,51.82812745,70.35264921
F,44.84998426,70.39520297
F,24.27038239,50.48556769
F,34.74247144,70.33993489
F,37.79931493,70.46953588
F,49.78694106,89.65804699
F,59.75149741,89.73193252
F,64.77479924,90.13231674
F,70.8444476,89.92420902
F,70.60594551,90.04206196
F,78.64248839,89.55120323
F,70.81069225,89.59265401
F,66.76994662,70.42337521
F,73.33636816,70.31692717
F,73.10514816,70.30051188
F,74.67825414,70.44531419
F,80.24025095,70.35430896
F,70.94684907,50.47270179
F,88.66266381,50.45532602
F,84.40595283,50.49486589
F,75.98710471,50.49196696
F,91.11208542,50.48938939
F,98.28812327,30.60391937
F,95.06527484,30.50040287
F,95.24923396,30.45945421
F,49.65612629,50.43131987
F,63.01860093,30.49258193
F,70.5382006,30.48355825
F,70.08686977,30.51004482
F,62.68569044,30.54642456
F,69.23941796,30.50600524
F,80.40023368,30.48500637
F,74.64787823,30.67386286
F,65.99527272,30.47502419
F,67.088559,30.49452395
F,59.85257703,10.54318778
F,53.74899007,10.52257453
F,58.23909552,10.49489903
F,54.8103005,10.72492928
F,52.97671232,10.85949028
F,52.20389393,10.49563692
F,50.74516224,10.52490557
F,42.71319362,10.48754724
F,45.31722551,10.49587339
F,53.11691504,10.5068606
F,57.04980182,10.50813694
F,54.85463095,10.46391519
F,54.92484256,10.49833194
F,63.30955403,10.48881424
F,49.74949841,10.48580291
F,41.16931042,10.49730024
F,46.6883405,10.50753214
F,52.41892192,10.49590636
F,50.87848838,10.50308987
F,57.05330614,10.51406924
F,70.78645116,10.51369504
F,56.77214957,10.50327235
F,75.47722202,10.51856804
F,76.76591215,10.49699906
F,77.62104913,10.49587423
F,65.41448705,10.68184013
F,69.9647805,10.50723293
F,64.96973826,10.48215951
F,38.05024078,30.40794603
F,42.22412022,30.49803716
F,87.69846429,50.48993653
F,52.36033107,89.70431701
F,51.40678679,89.71213855
F,43.58846847,89.74553655
K,50.48150817,93.22270137
K,50.28240567,97.60998357
K,50.18670334,99.69468014
K,50.32691086,90.02205349
K,50.45620733,89.98741013
K,30.46484693,82.08923208
K,30.50159647,82.30712635
K,30.48956923,77.72988014
K,30.45024833,79.8348944
K,30.5183948,68.25258294
K,30.51166121,66.09371818
K,30.49807771,62.38498503
K,30.62022775,60.86008215
K,30.49218542,55.87891689
K,30.47463433,52.32215964
K,30.50099808,48.06969968
K,30.49442136,45.77347553
K,30.49954455,49.38209975
K,50.14439298,47.01428364
K,49.91289859,55.58783891
K,50.33742749,57.95531428
K,50.4189792,60.52491173
K,50.20525897,57.92421717
K,50.43531516,56.43932247
K,69.5057889,59.28492483
K,69.53407098,64.89297733
K,69.51010693,61.32962443
K,69.52632289,56.99527913
K,49.94723996,48.22957673
K,50.06310413,58.08503756
K,50.48990237,39.20541197
K,49.68886384,42.01851441
K,50.33348111,43.58867148
K,50.44675142,57.23058894
K,50.4209092,43.3479569
K,50.37405205,32.91824062
K,30.47682991,39.42460559
K,30.50347435,38.34855614
K,30.50483493,28.77148799
K,30.46221846,32.75047203
K,30.49130262,43.56137408
K,30.44965384,44.995123
K,30.48599422,47.34794647
K,30.50207679,36.44121292
K,30.47805889,28.02058049
K,30.50116088,38.31413856
K,30.50477302,26.41662567
K,30.50911533,22.82554712
K,50.11563217,16.69400655
K,50.44830134,21.64025646
K,50.17317743,29.17786439
K,49.92274192,38.44047291
K,50.31129937,26.86048827
K,50.39940961,38.96383892
K,50.33736264,40.91338614
K,50.2023181,47.212948
K,50.27493261,49.62349934
K,69.49438031,52.61241071
K,69.51933976,47.38453371
K,69.52918261,57.84126668
K,69.4957555,58.78507316
K,69.19905771,60.41895732
K,69.55109144,58.40109827
K,69.50668432,68.08446679
K,50.44411755,75.01329951
K,50.46722938,90.28146451
K,50.21088198,80.94177171
K,50.20540696,90.6405359
K,50.43829066,92.35476027
K,50.37351885,82.21920572
K,50.25368369,81.74382872
K,50.25047086,71.95138521
K,50.08705836,73.95187363
K,50.23107188,80.64738706
K,50.20774112,73.11450352
K,30.49950617,53.61252767
K,30.52036124,65.10040907
K,30.45495589,63.50177878
K,50.41647723,97.26969196
K,69.52506938,93.59805021
K,69.5202566,97.19387602
K,69.49897007,92.12048993
K,69.52861566,91.62208824
K,69.49976693,84.47968329
K,69.50380137,81.81540562
K,69.4875894,81.83598756
K,69.51911573,71.11596722
K,69.50437629,70.49344382
K,69.51257301,61.49756395
K,89.49420056,62.23432697
K,89.50012405,53.21633062
K,89.49024625,48.89079655
K,89.49778562,46.62990667
K,89.50485113,48.42340816
K,89.50105265,43.3473437
K,89.48884125,40.62509122
K,89.50162353,45.81517919
K,89.49752966,33.90137267
K,50.43909202,37.6707718
K,50.17985013,36.80755934
K,69.50507067,33.7401525
K,69.57986705,21.93523675
K,69.50647195,22.72866287
K,69.49947887,16.33746998
K,69.50026475,27.13602399
K,69.50415652,23.6689181
K,69.53227958,21.85090082
K,69.50011149,11.79162601
K,69.50481542,15.61435826
K,69.50347452,17.16908977
K,50.37740199,16.50601506
K,50.33942548,18.72345069
K,50.0936501,11.60771342
K,49.93412717,22.25613974
K,50.28881861,13.43641047
K,50.28799443,12.87228221
K,50.2347207,20.40447292
K,50.27970164,15.60873757
K,50.25300672,11.30208425
K,50.47414112,12.46199667
K,50.10843997,18.25904434
K,49.91905825,3.716853886
K,50.08366451,10.2358819
K,50.35226084,12.46860053
K,50.49757224,7.409625234
K,50.01630583,16.25368479
K,50.46822122,13.35670246
K,69.55067898,9.032987569
K,69.51867275,15.18048643
K,69.50345741,16.87831327
K,69.49948683,10.20782668
K,69.52752968,9.992296666
K,69.51909526,11.4226857
K,69.56189943,15.99980379
K,69.50104452,5.955833539
K,69.52463598,2.73476017
K,30.49959371,26.08556157
K,30.48739171,19.77947037
K,89.50018047,31.97891744
K,50.41027163,98.62836944
K,50.32592439,94.99463085
K,50.1040315,95.08853802
M,38.33775718,92.47271905
M,35.75187079,94.11676803
M,32.76721796,88.51829458
M,33.72960678,88.62226579
M,37.23824933,83.72492841
M,36.02719822,82.04078065
M,39.23928078,79.26372384
M,39.78452494,82.2605659
M,35.16602939,84.15649198
M,40.62211592,78.54210421
M,39.18190709,79.8190372
M,42.43088899,75.13363464
M,43.08125586,75.34670164
M,44.36071943,70.47420705
M,44.32477884,71.0459044
M,47.5521602,66.46040372
M,48.66492462,64.96100494
M,46.28063196,68.02842315
M,50.56324448,62.62382797
M,52.63096423,59.96393579
M,54.63620644,57.49384244
M,51.34602714,61.60055304
M,57.13485535,53.8779658
M,54.17124157,58.0598079
M,50.94238231,62.09739394
M,66.51292446,59.07128185
M,64.3979095,56.1748754
M,68.68659329,62.23734399
M,65.02779371,57.09625735
M,53.30450317,40.88384455
M,52.94517809,40.38462569
M,45.2257382,30.55522592
M,50.84330462,37.7446281
M,49.65929394,36.27344274
M,47.14278893,32.02506417
M,41.27005653,21.72181715
M,47.13012716,31.30990292
M,40.91597158,23.54159239
M,38.66016397,21.68954964
M,42.61255083,24.19505377
M,41.2090395,24.12870919
M,50.64922115,37.48379074
M,52.13190194,39.36460208
M,39.79727127,16.08354965
M,43.54988148,24.30721094
M,36.71466334,17.38180986
M,37.22461013,17.98006448
M,40.51244785,22.96221457
M,40.22206279,20.6146217
M,44.12496121,23.36624529
M,42.3462616,24.55832694
M,44.18908437,28.77262547
M,45.81424531,31.05697967
M,46.64311927,31.40721906
M,52.1898883,39.36779649
M,51.10031736,38.09569998
M,65.40083415,42.61403204
M,64.85203983,43.13373484
M,63.40380601,44.84749369
M,65.37154887,42.69597132
M,61.9080397,53.19035207
M,71.826653,65.68623036
M,72.65462316,66.87827761
M,76.88857816,72.16547208
M,43.74461968,71.26796108
M,39.05424844,83.1190207
M,39.93167463,79.939188
M,39.76282611,76.40596745
M,41.32338329,80.2118686
M,41.78732323,83.98807799
M,39.75564907,79.65709664
M,40.7498794,77.20465729
M,43.8568985,77.60984365
M,42.3678225,73.63827183
M,39.46295984,78.4599739
M,44.51733395,70.36934983
M,41.636093,76.24922292
M,45.42293218,69.09550167
M,42.00285627,97.83761472
M,76.10562903,95.30498058
M,79.20256268,92.40721563
M,84.84824409,95.42480453
M,81.56447532,83.79290723
M,85.4461864,83.07829384
M,80.31249138,76.51623895
M,80.7662323,79.89606568
M,82.67011248,81.71147985
M,77.16362548,73.52371896
M,74.07070003,68.47956429
M,74.11423087,71.92636352
M,68.94207546,62.63515058
M,73.24200233,67.35327113
M,71.86701316,34.32915759
M,71.56918885,34.69921861
M,71.48290969,34.68051699
M,78.12852205,23.13923184
M,78.78982525,25.59719335
M,77.7815468,23.44721447
M,48.53062937,34.15245001
M,65.53078147,42.2810847
M,70.11803414,36.44818479
M,70.47226261,36.08805306
M,76.79113007,28.07200817
M,72.40935459,33.03925697
M,76.27129982,25.56954415
M,76.95325914,27.77061074
M,75.10773009,30.01698342
M,75.9692852,29.03886538
M,75.28388701,24.87475317
M,77.05224064,27.90563909
M,42.82675634,25.55695941
M,42.08066069,24.94652645
M,39.87830465,18.32492922
M,36.47549917,17.71894779
M,37.10307364,15.44561165
M,34.14896821,13.52386987
M,37.57942191,15.01589013
M,41.06430579,12.21446893
M,42.19526615,20.91937219
M,36.60557824,15.74887589
M,39.43116121,19.32384075
M,37.56207634,11.9284457
M,34.23811004,13.71315823
M,34.14094104,4.57766135
M,36.6592677,17.68196446
M,40.64371928,20.24086137
M,36.79248159,13.39213473
M,75.94830064,22.74479591
M,76.84069247,20.91854722
M,81.95047764,19.87455821
M,81.64370569,16.59175998
M,84.61021978,14.2477619
M,84.10287943,8.98065579
M,80.18002545,19.08884413
M,80.57327299,8.365638902
M,79.00432686,10.62819777
M,40.04818647,24.26148793
M,34.79459354,13.96968346
M,79.22176444,22.09459148
M,36.03087977,93.12173324
M,34.49955831,86.60998505
M,31.10686656,89.46163524
J,58.21360826,91.88189151
J,58.19605369,92.21498865
J,58.71823072,90.31053209
J,57.27837287,89.90760672
J,58.08202049,92.00814501
J,57.48944777,88.08528556
J,28.08874132,63.51079443
J,28.08546821,63.59019695
J,28.08727305,63.12328281
J,27.57802522,62.82103866
J,27.77991911,63.51814752
J,28.58899981,63.02408057
J,28.7391415,62.72086389
J,27.02460324,62.90185886
J,28.8013367,63.38904039
J,27.18646384,63.55872965
J,29.2851466,63.38360583
J,39.4029453,51.1508572
J,28.81132844,61.35785406
J,34.30395791,56.54212591
J,29.60276098,60.15734672
J,49.11615686,63.66000062
J,39.61754583,62.92518796
J,43.23308466,63.16521872
J,64.89278794,65.81417676
J,62.49014932,74.58428961
J,68.98808443,63.23214731
J,62.10561863,75.99087076
J,32.46184674,62.88190292
J,41.32720065,49.07025127
J,44.00714993,46.44967378
J,44.07406069,34.55320389
J,44.00131524,33.90420735
J,45.00630045,38.29901955
J,44.44384061,36.0190833
J,42.1787134,26.49211948
J,44.04456562,35.66223828
J,41.64045402,27.09309542
J,41.93833001,24.99152298
J,44.05392751,33.55639249
J,39.20671933,51.5337157
J,28.70444923,61.7775254
J,31.7086629,58.83775437
J,42.81171147,30.02044842
J,43.30061489,31.5264262
J,40.39863291,16.34700838
J,40.43569158,20.23267068
J,40.93654667,16.91300484
J,39.66157367,15.60935558
J,40.89925918,20.79852895
J,41.96861683,26.4970726
J,40.38340582,21.39122552
J,56.53812645,32.44424547
J,52.97069128,29.04019669
J,54.62095259,30.34452445
J,65.09904439,27.24155756
J,63.05599091,29.70909567
J,70.96013623,41.25950129
J,69.89581924,43.45375927
J,70.59589286,41.96474387
J,69.64702143,44.04444502
J,77.39298249,63.37145906
J,64.40078719,67.44871845
J,63.86895983,70.21373883
J,56.59442132,86.92700622
J,56.53133729,87.49981107
J,59.65215837,87.80946159
J,56.6365087,85.63749556
J,58.672288,90.07716031
J,58.22161273,90.41101877
J,57.91466448,89.95380277
J,55.31550906,80.25186069
J,54.57572859,77.53628847
J,54.41309365,78.22908659
J,55.0745059,79.81754642
J,29.43296052,60.80177654
J,29.42268607,63.06846482
J,29.00561416,63.39075133
J,58.46183859,90.26532639
J,57.99780474,92.15990861
J,57.54947408,90.74890656
J,59.52992846,88.32727415
J,58.24939106,92.12968148
J,58.02451401,91.69442117
J,58.38212449,90.55347607
J,62.56675904,77.74393476
J,72.17582431,63.12892942
J,79.47276157,63.40868612
J,80.35770088,63.29543754
J,78.75723614,53.33262001
J,82.54023959,56.54105229
J,86.43589719,59.79276181
J,79.48868442,53.65167426
J,81.53042032,56.02536457
J,79.18678857,53.23479185
J,77.89905795,51.82245833
J,75.13071421,23.37244197
J,76.05801375,16.38374969
J,57.61467439,33.82244765
J,56.17139753,32.11798877
J,66.2878906,26.11710975
J,67.88171962,24.23601841
J,64.0280813,27.67268551
J,77.49665175,14.94852356
J,77.63465176,14.46185393
J,77.86372643,14.61067765
J,77.33815817,15.89005466
J,76.18041653,15.91257375
J,77.25265109,15.15151702
J,77.41337528,15.22192798
J,76.7318494,16.21684614
J,49.47110541,25.06301931
J,42.47653994,18.33847356
J,43.59511586,19.99420098
J,50.33996967,26.47139661
J,40.74898026,16.18214166
J,38.38652558,14.58021515
J,38.40401521,14.45194845
J,38.76427889,14.36559047
J,41.47014233,17.27803344
J,47.15540481,22.37793253
J,39.58256675,17.64845284
J,41.74024382,17.82932431
J,39.31187189,15.64071697
J,41.67984769,17.74591901
J,39.08746445,15.12230394
J,41.48150286,18.04743744
J,77.60608655,15.16287254
J,75.98266152,16.30692238
J,76.94575724,15.85847833
J,77.54372007,15.25394915
J,77.58473984,15.83003939
J,76.82230426,15.59516532
J,77.34857166,15.77452924
J,77.57315269,14.78064583
J,77.97261068,14.95569875
J,41.52891976,24.91642519
J,43.7225508,19.0773278
J,79.32607818,52.90039129
J,56.66397408,87.94012501
J,57.82178923,90.69316655
J,58.2431719,92.10432787
G,57.61323355,83.9051708
G,51.27439182,82.81798294
G,50.75389841,76.75412895
G,37.02118401,81.95447
G,42.88175509,80.18477005
G,37.15571048,84.95411141
G,38.73185813,83.78935643
G,31.00052541,82.5794806
G,25.98549962,74.34938755
G,23.71456629,75.09804908
G,23.07731951,71.72053967
G,24.93913687,72.58028581
G,17.89349871,71.10968734
G,23.67308186,64.87083914
G,23.74907191,63.5571719
G,32.21517863,65.60095802
G,29.43684125,67.55452811
G,40.0500952,71.88903357
G,37.57479502,69.98874444
G,49.31046863,67.16876032
G,47.34801855,72.59161154
G,50.15741443,71.16172582
G,58.21000827,68.04453807
G,56.60890766,70.40894609
G,52.83382053,72.55188627
G,61.81858546,76.11282402
G,61.72763341,77.06923841
G,62.19225208,76.15681921
G,58.11876586,73.11896147
G,58.27041238,35.59689504
G,59.76653031,32.6212516
G,52.53553472,27.17412294
G,50.89252158,29.14528394
G,49.96755118,28.46020333
G,51.34788323,27.36426023
G,37.55511629,24.53766384
G,39.19959418,23.68049566
G,36.3827222,25.23800523
G,41.10069438,26.55261322
G,28.21781182,28.28029248
G,33.79707204,28.69975074
G,43.91938731,27.79784459
G,44.41640111,28.94769233
G,28.03760277,26.80382436
G,31.68957613,26.66640021
G,27.27961285,19.25728097
G,31.22187836,26.44085578
G,33.5458051,20.0807081
G,39.73633061,23.49480698
G,42.84184265,20.33390044
G,47.09372989,26.99347063
G,51.45365835,26.02294175
G,49.36770682,22.0055807
G,48.25348097,29.27085553
G,61.00295976,30.01531443
G,60.8065608,27.86831349
G,59.06742702,26.78828402
G,61.41463372,31.03937506
G,68.93436947,31.61989309
G,63.06524386,34.23574659
G,72.27252287,67.64444379
G,75.35988197,75.42161458
G,72.83362587,72.11469381
G,70.81041484,79.35046183
G,45.80193476,81.65826775
G,45.83502017,82.74259199
G,40.07880645,80.24718526
G,51.9829247,82.20438347
G,57.33790605,84.99951887
G,62.33623276,83.2465679
G,58.50591009,81.74558634
G,56.24793514,83.51394949
G,55.40652083,80.26667197
G,53.28396884,84.26359922
G,44.67676155,80.23828555
G,30.01126425,68.14675637
G,29.74525392,74.40452683
G,37.30994835,72.5861552
G,61.13594691,82.53756936
G,61.72061919,85.70569345
G,63.60937986,83.36002884
G,70.72371623,87.15220752
G,75.00639264,82.42583516
G,75.09254978,83.43739071
G,70.32792918,82.0293547
G,70.86333083,79.40817475
G,75.77990482,79.88619942
G,78.09365907,77.75955818
G,76.74576122,71.97336009
G,78.46460344,69.74930082
G,76.74568485,70.04405726
G,85.16168219,65.51240471
G,91.80835257,34.96559448
G,91.88744859,34.76925386
G,92.24840166,32.37715443
G,91.78253274,34.38429465
G,96.08051937,28.0536005
G,92.24789883,28.07075149
G,57.66227662,24.06060793
G,59.84692489,26.17771249
G,64.06709621,27.77650056
G,60.9815014,23.93429816
G,59.96705791,26.80258322
G,62.70745411,21.99550858
G,69.1952352,22.70979217
G,65.59236265,20.6941731
G,64.61709853,22.44314555
G,59.19115913,17.76790181
G,55.83963137,21.61856967
G,59.00075862,21.17100749
G,56.45937113,25.14456421
G,52.35810536,19.41705412
G,51.81166378,17.0334946
G,54.22284562,19.50366554
G,49.0187554,23.48927402
G,35.6535812,17.51450806
G,46.96578576,16.78920162
G,49.58423926,16.75791601
G,51.85629997,21.96908401
G,55.95288863,16.7897576
G,51.66378626,19.9251252
G,45.85966932,17.12890368
G,39.74037952,18.74105141
G,52.81122164,17.85498812
G,56.78910436,17.30611552
G,54.11453178,17.67353439
G,55.57111973,17.36957458
G,65.3064625,18.19735483
G,66.99074915,17.22287065
G,72.15671894,16.81427479
G,70.9805804,17.15575228
G,72.22208221,19.3692817
G,79.70015835,20.74021837
G,64.24916065,14.91396246
G,66.94329143,20.1891325
G,66.94167666,18.24350939
G,39.64826665,22.73136637
G,37.94978369,26.52174923
G,86.50439056,34.89402529
G,50.81548536,78.95083881
G,51.18346666,85.12885465
G,40.86385523,82.9261453
E,51.14791671,90.86741233
E,50.51712581,89.10239459
E,50.2074802,85.4600474
E,50.06948192,83.05766953
E,50.56284634,82.93782178
E,50.2885278,82.97525357
E,25.58347508,82.91489113
E,25.48358339,82.92908498
E,25.4435257,82.8742005
E,25.56511342,82.92409777
E,25.92884427,82.82118411
E,27.55147826,51.48738653
E,27.53046637,51.41484656
E,27.09557036,52.07679944
E,27.43924961,51.71207905
E,27.87826426,50.70890793
E,27.33886892,51.65304675
E,27.67840297,51.18198917
E,52.63565768,51.41855226
E,52.02521411,52.12301105
E,52.88116479,50.62155476
E,52.95260731,50.07473901
E,52.52055249,51.5024421
E,52.34282206,51.86195209
E,51.92759021,52.25779061
E,52.71377449,51.19794432
E,50.44380279,82.94182882
E,50.21669503,83.75234297
E,52.18418011,51.97525067
